time,x,u,v,x_sp
0.0,0.2,0.5,0.19999979615543728,0.8
0.1,0.2391771669613989,0.5199999796155438,-0.05714217266647034,0.8
0.2,0.27681744304303735,0.5142857623488969,-0.026166942078709843,0.8
0.30000000000000004,0.3121749056736732,0.5116690681410258,-0.02519055068694037,0.8
0.4,0.34550273699112544,0.5091500130723314,-0.02290948691352737,0.8
0.5,0.37693412328101467,0.5068590643809788,-0.020625508737995762,0.8
0.6000000000000001,0.4065962777898822,0.5047965135071795,-0.01824240749844766,0.8
0.7000000000000001,0.43460691149178926,0.5029722727573348,-0.015721943171731756,0.8
0.8,0.4610753571787235,0.5014000784401617,-0.01298900330619307,0.8
0.9,0.4861034712783283,0.5001011781095426,-0.010007754110640033,0.8
1.0,0.5097864015343615,0.4991004026984786,-0.006806559667318635,0.8
1.1,0.5322130053668398,0.49841974673174677,-0.0033472204442330233,0.8
1.2000000000000002,0.5534662484306804,0.49808502468732335,0.00039630562984888096,0.8
1.3,0.5736236923385304,0.4981246552503083,0.004421750601325297,0.8
1.4000000000000001,0.5927578437336836,0.49856683031044086,0.008736011773606583,0.8
1.5,0.6109364389902198,0.4994404314878015,0.013344998052780832,0.8
1.6,0.6282227287748272,0.5007749312930795,0.018241085951330283,0.8
1.7000000000000002,0.6446757175687182,0.5025990398882124,0.023432607031824176,0.8
1.8,0.6603503959702597,0.5049423005913949,0.028919130190656145,0.8
1.9000000000000001,0.6752979718798117,0.5078342136104605,-0.14047199297964832,0.8
2.0,0.6892948541472922,0.4937870143124959,-0.29780696836688925,0.8
2.1,0.7019209601294717,0.46400631747580706,-0.18274818215369035,0.8
2.2,0.7132383746692458,0.445731499260438,-0.11840490835475989,0.8
2.3000000000000003,0.7236086423584212,0.433891008424962,-0.0830794830707692,0.8
2.4000000000000004,0.7332378103596621,0.425583060117885,-0.06424021493856219,0.8
2.5,0.7422474182804749,0.41915903862402876,-0.05472127297230983,0.8
2.6,0.7507128689331526,0.4136869113267978,-0.050493817535158025,0.8
2.7,0.7586841514845731,0.4086375295732819,-0.04924025524132891,0.8
2.8000000000000003,0.7661970709866194,0.403713504049149,-0.04965591305282774,0.8
2.9000000000000004,0.7732793790891769,0.3987479127438662,-0.050907234119825534,0.8
3.0,0.779954202466149,0.3936571893318836,-0.052584966378398657,0.8
3.1,0.7862419288783462,0.3883986926940438,-0.05443315820763048,0.8
3.2,0.7921611791828955,0.3829553768732808,-0.056306743454589525,0.8
3.3000000000000003,0.7977293553014266,0.37732470252782185,-0.05812675891875327,0.8
3.4000000000000004,0.8029629291395557,0.37151202663594646,-0.05985229205145254,0.8
3.5,0.807877590035621,0.3655267974308012,-0.061465883409246136,0.8
3.6,0.8124883163365242,0.35938020908987656,-0.06296155376517548,0.8
3.7,0.8168094089204754,0.353084053713359,-0.06434276130790484,0.8
3.8000000000000003,0.8208545058314205,0.3466497775825685,-0.06561295173602019,0.8
3.9000000000000004,0.8246365912398372,0.34008848240896655,-0.06677845028406151,0.8
4.0,0.8281680051522784,0.3334106373805603,-0.0678446893238131,0.8
4.1000000000000005,0.8314604543647804,0.32662616844817893,-0.06881626700381471,0.8
4.2,0.8345250273481686,0.3197445417477974,-0.06969665520847673,0.8
4.3,0.8373722124425106,0.3127748762269497,-0.07048817260996768,0.8
4.4,0.8400119189700348,0.305726058965953,-0.0711920041906215,0.8
4.5,0.8424535006676861,0.29860685854689084,-0.07180833676707335,0.8
4.6000000000000005,0.8447057808578128,0.2914260248701836,-0.07233498805715935,0.8
4.7,0.8467770799288471,0.28419252606446765,-0.07277288471720511,0.8
4.800000000000001,0.8486752416437041,0.2769152375927473,-0.07312380021449302,0.8
4.9,0.850407655963355,0.2696028575712981,-0.073381713401519,0.8
5.0,0.8519812866139742,0.2622646862311463,-0.07358592836413724,0.8
5.1000000000000005,0.853402670443216,0.2549060933947325,-0.07368261254391839,0.8
5.2,0.8546779527061285,0.24753783214034075,-0.0736328216855976,0.8
5.300000000000001,0.8558129763040113,0.24017454997178092,-0.07348946296294795,0.8
5.4,0.8568132903452822,0.23282560367548616,-0.07329148294969015,0.8
5.5,0.857684104870343,0.22549645538051716,-0.072946384394732,0.8
5.6000000000000005,0.8584303510677633,0.21820181694104399,-0.07250916343658576,0.8
5.7,0.859056726999275,0.2109509005973854,-0.07197909919596132,0.8
5.800000000000001,0.8595676785869053,0.20375299067778926,-0.07139944438796136,0.8
5.9,0.8599673898823743,0.19661304623899317,-0.0707192028229281,0.8
6.0,0.8602598087974188,0.18954112595670036,-0.06994351347673514,0.8
6.1000000000000005,0.8604486980515538,0.18254677460902688,-0.06907769997741867,0.8
6.2,0.860537646058424,0.17563900461128504,-0.06812727959878973,0.8
6.300000000000001,0.8605300773234804,0.16882627665140607,-0.06709795322406328,0.8
6.4,0.8604292624051036,0.16211648132899975,0.10924475852411966,0.8
6.5,0.8603598733494092,0.17304095718141171,0.10168358261287638,0.8
6.6000000000000005,0.8604376092053797,0.18320931544269933,0.07310856430255908,0.8
6.7,0.8606343346333418,0.19052017187295528,0.051963857353131276,0.8
6.800000000000001,0.8609129741772912,0.19571655760826845,0.03636163327535322,0.8
6.9,0.8612461731429912,0.19935272093580375,0.024908544257689874,0.8
7.0,0.8616138797704176,0.20184357536157274,0.016563894502278492,0.8
7.1000000000000005,0.8620015909865449,0.2034999648118006,0.010542831747623077,0.8
7.2,0.8623989145805758,0.2045542479865629,0.006251938194489659,0.8
7.300000000000001,0.8627985267467566,0.20517944180601186,0.003241682146538971,0.8
